Job,Asset,Algo,TF,Days,WFO,OOS%,Profit,Margin,MaxDD,PeakDD%,TimeDD%,Trades,Win%,Obj,P/L,P/Trade,Return,CAGR%,Calmar%,Sharpe,R2,CA%
EhlersML_Session,EUR/USD,CYCL,  60,  1693, 10, 15,-31787,  5006, 78855, 100, 99,  590, 50.0, 0.000, 0.95,-53.9, -8.2,  0.0, -8.7,  0.00, 0.00,----
EhlersML_NoML,USD/CAD,TRND, 240,  1693, 10, 15,-46497,  5004, 81878, 100, 90,   50, 36.0, 0.000, 0.74,-929.9,-11.5,  0.0,-12.2,  0.00, 0.00,----
EhlersML_NoML,USD/CAD,TRND,  60,  1693, 10, 15,-59422,  5005,106889, 100, 77,  130, 31.5, 0.000, 0.79,-457.1,-11.5,  0.0,-12.0,  0.00, 0.00,----
EhlersML_Session,EUR/USD,TRND,  60,  1693, 10, 15,-53168,  5006, 89363, 100, 94,  134, 39.6, 0.000, 0.83,-396.8,-12.1,  0.0,-12.8,  0.00, 0.00,----
EhlersML_NoML,AUD/USD,TRND,  60,  1693, 10, 15,-93494,  5004,161614, 100, 98,  136, 36.0, 0.000, 0.82,-687.5,-12.1,  0.0,-12.5,  0.00, 0.00,----
EhlersML_Session,USD/CHF,CYCL,  60,  1693, 10, 15,-114989,  5005,165155, 100, 99,  606, 47.2, 0.000, 0.85,-189.8,-14.6,  0.0,-15.0,  0.00, 0.00,----
EhlersML_NoML,USD/CAD,CYCL,  60,  1693, 10, 15,-120267,  5005,155088, 100,100, 1589, 53.6, 0.000, 0.89,-75.7,-16.2,  0.0,-16.7,  0.00, 0.00,----
EhlersML_Session,USD/CHF,CYCL, 240,  1693, 10, 15,-112354,  5005,142035, 100, 97,  158, 49.4, 0.000, 0.73,-711.1,-16.5,  0.0,-17.1,  0.00, 0.00,----
EhlersML_NoML,GBP/USD,CYCL,  60,  1693, 10, 15,-115295,  5007,143939, 100,100, 1542, 53.6, 0.000, 0.92,-74.8,-16.7,  0.0,-17.3,  0.00, 0.00,----
EhlersML_Session,USD/CHF,TRND,  60,  1693, 10, 15,-120746,  5005,149694, 100, 99,  160, 33.8, 0.000, 0.71,-754.7,-16.8,  0.0,-17.4,  0.00, 0.00,----
EhlersML_NoML,USD/CHF,TRND,  60,  1693, 10, 15,-138096,  5005,157360, 100, 99,  176, 32.4, 0.000, 0.67,-784.6,-18.3,  0.0,-18.9,  0.00, 0.00,----
EhlersML_NoML,EUR/USD,TRND,  60,  1693, 10, 15,-122233,  5006,130397, 100, 98,  190, 32.6, 0.000, 0.70,-643.3,-19.5,  0.0,-20.2,  0.00, 0.00,----
EhlersML_NoML,USD/JPY,CYCL,  60,  1693, 10, 15,-131424,  5007,140539, 100, 99, 1426, 53.2, 0.000, 0.90,-92.2,-19.5,  0.0,-20.2,  0.00, 0.00,----
EhlersML_NoML,USD/CHF,CYCL,  60,  1693, 10, 15,-177168,  5005,180489, 100,100, 1522, 51.3, 0.000, 0.86,-116.4,-20.6,  0.0,-21.2,  0.00, 0.00,----
